subj,block,trial,reach_dur_s,grasp_dur_s,pull_dur_s,mvt_dur_s,peak_reach_vel,peak_pull_vel,reach_beta_db,grip_beta_db,reach_lowbeta_db,reach_highbeta_db
wue05,2,7,1.075,0.285,1.3975,2.7575,0.623010322978161,0.55402999584149,0.2270645,1.583593,0.1744457,0.4247456
wue05,2,8,1.21,0.4225,1.08,2.7125,0.637779243090216,0.527679186172725,1.756698,2.677588,1.67091,1.993253
wue05,2,9,1.0675,0.3625,1.065,2.495,0.645233532694589,0.50010557214166,0.7082117,2.391977,-3.960191,3.205901
wue05,2,10,1.3125,0.25,1.0675,2.63,0.657751492433237,0.488438816437438,-0.4426031,1.451597,-0.7010824,1.024369
wue05,2,11,1.31,0.42,1.365,3.095,0.573760074290291,0.456401062505403,-1.225855,-1.274954,-3.661479,0.9092849
wue05,3,1,1.605,0.365,0.89,2.86,0.507748129133015,0.705459167950449,0.8847196,0.2006027,0.4714507,1.378282
wue05,3,2,1.2025,0.38,0.9625,2.545,0.610594828441588,0.580811729455442,0.4492971,0.2168561,0.5241645,1.907614
wue05,3,3,1.3675,0.125,1.245,2.7375,0.587200910000395,0.537709865585339,0.6780411,-0.07684717,-0.009417682,1.289231
wue05,3,4,1.2175,0.245,1.145,2.6075,0.624181170358665,0.562843536211487,2.259257,-1.384909,3.785267,0.3417712
wue05,3,5,1.27,0.2475,1.1525,2.67,0.643936441960595,0.534880928307012,1.375097,1.708934,0.1996193,2.416939
wue05,3,6,0.9775,0.44,1.1825,2.6,0.67575910611998,0.582793703498703,2.800884,-1.002146,-2.298045,5.004307
wue05,3,7,1.0625,0.5225,1.065,2.65,0.642417740508611,0.532734665286016,-0.9032235,1.276366,-0.7087706,-0.5489786
wue05,3,8,1.115,0.4825,1.0125,2.61,0.584782922560832,0.596688770152809,1.118902,-1.34936,0.7371396,1.725537
wue05,3,9,1.2025,0.45,1.0275,2.68,0.590414688784435,0.555463101168732,2.139418,0.5080319,2.071952,3.554275
wue05,3,10,1.1825,0.4325,1.0025,2.6175,0.648398793987649,0.578846662551523,1.72681,2.454724,1.065955,3.184183
wue05,3,11,0.935,0.65,1.03,2.615,0.664672862875979,0.522114532118511,1.785387,1.999813,-0.243075,3.418175
wue05,3,12,1.0675,0.455,1.0125,2.535,0.579835442942273,0.541364491435461,-0.1479539,-1.622555,0.01725956,0.7529153
wue06,1,1,1.3175,0.4275,1.1325,2.8775,0.451229700203115,0.482964313502149,-0.8084691,-2.036378,0.7090745,-0.5936332
wue06,1,2,1.035,0.2675,1.3225,2.625,0.531551655245246,0.507966091766049,-1.159349,0.8777063,0.5973052,-1.446983
wue06,1,3,1.0925,0.3975,1.34,2.83,0.558111409075405,0.517804293646765,-0.2696876,-1.00785,6.609902,-1.435933
wue06,1,4,1.01,0.2975,1.36,2.6675,0.545943886635387,0.42816552954048,-2.313648,3.054434,-0.5178428,-2.46386
wue06,1,5,1.1,0.4675,1.56,3.1275,0.497566121107834,0.37640774256072,-3.720708,1.834439,2.634251,-6.631713
wue06,1,6,1.1125,0.71,1.6375,3.46,0.483718702827212,0.338176336661928,-0.1821271,1.985584,4.487953,-1.212557
wue06,1,7,1.19,0.6125,1.655,3.4575,0.505163838903111,0.345371905385428,-1.275811,1.407037,4.57493,-3.003967
wue06,1,8,1.12,0.6625,1.73,3.5125,0.444625901869827,0.327821271317191,-1.791727,-0.3646694,2.195913,-1.967664
wue06,1,9,1.1275,0.6025,1.6425,3.3725,0.457538545304485,0.348165039000867,-1.57997,1.399224,3.289354,-2.470952
wue06,1,10,1.145,0.81,1.73,3.685,0.460756433646591,0.311036131329911,-0.8229739,0.8494536,2.423579,-0.8590121
wue06,1,11,1.505,0.595,1.6525,3.7525,0.320255877095267,0.311928202658306,-5.081802,1.597564,0.8206186,-7.405636
wue06,1,12,1.305,0.8525,1.79,3.9475,0.38985677167237,0.337845642586683,-1.150308,-0.9210778,2.544048,-2.272675
wue06,2,1,1.385,1.3925,1.3775,4.155,0.349000752453615,0.419953270048071,0.7243341,0.8381519,3.59632,0.1283058
wue06,2,2,1.285,1.105,1.47,3.86,0.404189521640493,0.367296335950387,2.301664,0.9431375,6.439161,1.856158
wue06,2,3,1.3075,1.5525,1.5675,4.4275,0.394298223649608,0.375689242106581,-1.162915,-0.4851203,1.246444,-1.477104
wue06,2,4,1.425,2.0375,1.53,4.9925,0.367549302526176,0.380336957578661,-1.448357,-1.328413,3.482468,-2.812022
wue06,2,5,1.4325,1.5175,1.52,4.47,0.357801398328957,0.35620457709362,0.7677065,0.760458,3.529362,0.5166309
wue06,2,6,1.4375,2.015,2.0325,5.485,0.365968390687087,0.303488154603056,4.858253,1.216567,4.176763,5.203476
wue06,2,7,1.31,1.655,1.5575,4.5225,0.350445509819366,0.306464669456979,-1.555319,0.7774139,0.8971639,-1.798886
wue06,2,8,1.4,1.7375,1.7925,4.93,0.309448797400233,0.287119989990849,-1.516699,1.150383,-0.8155843,-1.753914
wue06,2,9,1.515,1.2875,1.6625,4.465,0.419618487945252,0.32148606127182,1.294355,1.751663,0.4995769,1.470404
wue06,2,10,1.0575,1.6375,1.7275,4.4225,0.44940655808764,0.236616842076589,-2.557848,0.4710211,2.049103,-2.772979
